Ex bike,Hemorrhoid Cream,Caffeine,Cannabis,Naproxen,Ambien CR,Miralax low dose at night,tumeric extract,Soluble Aspirin,Aspirin,Daily walk,Prednisone,7-keto-dhea,Flonase,Buspirone,Turmeric,methotraxate,Vitamin b complex,Methylcobalamine,Probiotic,therapy session,Stretching,Tummy Tamers,Physiotherapy,Steps,Magnesium,Boswelia Complex,Panamax,THC,Triamcinolone Cream,Allegra,Goth clubbing,Fish oil,Marijuana,Tramadol,Post-op ice device,Standing desk,cocodamol,Valdoxan,Benadryl,Aleve,Aromatherapy,Rest,Compression Stockings,Acetaminophen,nsaid,Claritin,pilates,Prednisolone,Strattera,Low oxalate,Citalopram,Zofran,Hydroxyzine,Synthroid,Sauna,meds,Veggies,Humira,Antihistamine,Physical activity,Equilibrant,Vitamin C,Dr J study,co-tenidone,Probiotics,linseed,5 or more portions of fruit and veg,Tavegyl,eye drops,Meditation,Gabapentin,Klonopin,Cetirizine,CBD,Vitamin B,LUSH acne spot-treatment,Zomig,hydrocortisone suppository ,Cranberry extract,Vitamin b12,Triamcinolone Lotion,Vitamin d,Ice pack,Mezavant,massage,Codeine-Panadol,Diazepam,Iron,More stretching,physical therapy,Vitamin a,Vyvanse,Pepto-bismol,Albuterol Inhaler,Lying flat,Acetyl Carnitine,Acupuncture,Magnesium gel,N-Acelcysteine,Creatine,Clonazepam,Therapy,Ibuprophen,CoQ10,Valium,Oxynorm,Trigger Points,Calcium citrate,Garden of Life Raw Meal,Snooze,eye compress,Boswelia,Flutiform,Folic acid,rebounding,Escitalopram,DEHA,Snacks,stool softener,Allergy Shots,Zinc,Ibuprofen,Nortriptyline,Melatonin,Entocort,Wear shoulder brace,Alcohol,Sunlight,Ventolin,birth control,Inflamma-blox,Magnesium glycinate,5-htp,Nasonex,Forever Aloe Berry,Lithium,use exercise bike,Ocella,Ecural,Tylenol 3,eye ointment,gluten free,dairy free,Athlete Vitamin,Famotidine,Topical ibuprofen,Protecting back,Wore arch supports all day,Ranitidine,strapping of shoulder,Neti Pot,Codeine,Astelin,Spironolactone,Voltaren,Temazepam,heating pads,Norco,Lexam,antihistamines,pool,Zoladex,Azathioprine,Freezie wrap,Singulair,Pentasa,cough syrup,Sleep,drawing
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,0.0,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,2.0,2.0,2.0,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,0.0,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,,
,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,
,,,,,0.0,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,0.0365349092502,0.0,8.3173102284e-05,,,0.0,,,,,,,0.0,,,,0.0,,,0.0365349092502,,,0.0,0.0,0.0,,0.0,,,,,,0.0,,,,,,,0.0,,,0.113315122168,,0.0,,,,,,8.3173102284e-05,,0.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,2.0,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,2.0,,0.0,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,,,,0.0,,0.0,0.0,0.0168934842703,0.0103273021131,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,2.0,,0.00974671920696,,,0.0,,,,,,,,,,0.0,,,,,2.0,,,,,,0.0,,2.0,,,,,,,
,,,,,0.0,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,0.0365349092502,0.0,8.3173102284e-05,,,0.0,,,,,,,0.0,,,,0.0,,,0.0365349092502,,,0.0,0.0,0.0,,0.0,,,,,,0.0,,,,,,,0.0,,,0.113315122168,,0.0,,,,,,8.3173102284e-05,,0.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,,
,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,0.0,2.0,,,,,,0.0,,,,,0.0
,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,,
,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,0.0,,,0.0,,,,,0.0,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,,
,,,,,,,,2.0,0.0,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,2.0,2.0,2.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,0.0,,,,,,,
,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,
,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,0.0365349092502,0.0,8.3173102284e-05,,,0.0,,,,,,,0.0,,,,0.0,,,0.0365349092502,,,0.0,0.0,0.0,,0.0,,,,,,0.0,,,,,,,0.0,,,0.113315122168,,0.0,,,,,,8.3173102284e-05,,0.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,,
,,,,,0.0,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,0.0365349092502,0.0,8.3173102284e-05,,,0.0,,,,,,,0.0,,,,0.0,,,0.0365349092502,,,0.0,0.0,0.0,,0.0,,,,,,0.0,,,,,,,0.0,,,0.113315122168,,0.0,,,,,,8.3173102284e-05,,0.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,,
,,,,,0.0,,0.0,2.0,0.0,,2.0,,,,,,0.0,,,0.0,,,,,,,2.0,0.0,,0.0365349092502,0.0,8.3173102284e-05,,,0.0,,,,,,,0.0,,,,0.0,,,0.0365349092502,,,0.000523485495948,0.0,0.0,,0.0,,,0.0,,,0.0,,,,,,,0.0,,,0.113315122168,,0.0,,,,,,8.3173102284e-05,,0.0,0.0,,,,,,,0.0,,0.0,,,,2.0,0.0,,2.0,2.0,2.0,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,0.0,0.0,0.0,,2.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,2.0,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,2.0,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,2.0,,0.0,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,,,,0.0,,0.0,0.0,0.000982835513716,8.43993388633e-06,,,,2.0,,,,,,,,2.0,,,,,,,,,,0.00974671920696,,,,,,2.0,,,,,2.0,,,,,0.0,,,,,,,,,,0.0,,,,,2.0,,,,,,0.0,,2.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,,
,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,2.0,,,,,,0.0,,,,,0.0
,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,2.0,,,,,,0.0,,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,0.0365349092502,0.0,8.3173102284e-05,,,0.0,,,,,,,0.0,,,,0.0,,,0.0365349092502,,,0.0,0.0,0.0,,0.0,,,,,,0.0,,,,,,,0.0,,,0.113315122168,,0.0,,,,,,8.3173102284e-05,,0.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,,
,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,2.0,,,,,,0.0,,,,,0.0
,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2.0,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,0.0,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,2.0,,0.0,,,,,,,,,,2.0,,,,0.0,,0.0,0.0,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,,
,2.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,0.0365349092502,0.0,8.3173102284e-05,,,0.0,,,,,,,0.0,,,,0.0,,,0.0365349092502,,,0.0,0.0,0.0,,0.0,,,,,,0.0,,,,,,,0.0,,,0.113315122168,,0.0,,,,,,8.3173102284e-05,,0.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,
,,,,,,,,2.0,0.0,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,2.0,2.0,2.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,2.0,,,,,,0.0,,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,0.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0142068758424,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,0.0,,,,,0.0,,,,0.0,,,0.0,,,3.83377694324e-06,0.0150756288792,,,0.0,,,,,,0.0,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,0.311695593113,,,0.0,,,0.0,0.0,,,,0.0
,,,,,0.443319049063,2.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,2.0,,,,,0.0,,,,0.0,,,0.0,,,0.309689515126,0.44755969808,,,0.0,,,,,,0.0,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,,,,2.0,0.0,,,,,2.0,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,0.0,,0.0,,,0.0,,2.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,2.0,2.0,,0.0,,2.0,,,0.0,,,0.0,,,,0.311695593113,,,,0.0,,,2.0,0.0,,,,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,2.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,,0.0,0.0,0.0,,,,2.0,,,,,,,,2.0,,,,,,,,,,0.0,,,,,,2.0,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,
,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,0.0,,,,
,,,,,,,,2.0,0.0,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,2.0,2.0,2.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,2.0,,,,,,0.0,,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
