power outage,ugh,office work,BM,Decorated my room,Sister rudely woke me up,Had candy,a little tired,Numb inside,argued,saw a movie,Counted calories,Went to a party,ate breakfast,worked yesterday,pancakes dinner,Late lunch,I miss her but i fucked up,Put away the puzzle,sugar,Felt less depressed,hot tub,so tired,self harm,crying,Used my laptop,acupuncture,I miss him but i fucked up,Yard sale,lonely,skipped lunch,resting,tramites,watermelon,Fire in Santa Barbara,Downloaded apps,worked late,suicidal,Slept a lot,asparagus,Want to self harm,Argued with my brother,bad sleep,Dance class,good weather,doctor appointment,out all day,ate meat,hot weather,gentle exercise,masturbated,snacks all day,work,tired,Found a new app,scared,Had blood work,Played poker,Ended my friendship,depressed,Read stories,Kinda worried,Texted friend,pain,There was a sale the market,A bug bit me,cleaned room,ice cream,small dinner,alcohol,poor sleep,Read comics,Played Go fish,caffeine,I feel bad,I laughed for ten minutes straight,Stuffed up,Bought boots,Hard to get up,I really am alone,Watched anime,frustrated,wake up at 10:00,Somewhat productive,Named characters,Spilled a soda all over the car and myself,took a nap,brain fog,Disappointed in the world,Flare,funeral,Expressed my feelings,not enough sleep,Quiet,Dusted,listen to music ,Watched videos,head pain,Was a good day,I am a garbage human,cough,Cleaning ,woke early,I feel unlovable,stretching,Put speakers in my room,No motivation,couldn't sleep,Dry skin,stressed,I have no friends,Peeing a lot,I'm fucking up,angry,massage,Walked to the shopping center,Had corn for dinner,Had to pick up my schedule,hiking,Bought a lot of snacks,physical therapy,period,Woke up too early,Didn't shower,Extreme naseua,Had cookies and popcorn,Omeprazole,Yelled at siblings,I feel lifeless,cramps,With alex,Worried about tommorow,chips and dip,Trying to forget,Diphenhydramine,had fun,Saw fireworks,exhausted,Feel empty,bored,Skipped dinner,feel guilty,Doctor's Appointment,Acne is really bad,Had a light lunch,slept in,Felt naseous,Bloated,sunshine,confused,Feel worthless,Saw a cute boy,Couldn't breath for a bit,Multivitamin,Dried the dog,Ate s'mores,A lot of ash got on me,Ate a lot,with family,late night,Swept,mt evans,Fell asleep twice,video games,My best friend confessed to me,Went to the store,woke up early,I couldn't control my emotions,felt sick,Ran Errands,Got frustrated with siblings,ate dinner,Ate junk food,napped,hanging out,Organized my closet,Downloaded music,late dinner,low motivation,I don't want to do anything,Looked at old photos,long commute,Bed at 11,Light dinner,body felt heavy,cleaned,Watched a movie,Showered,breakfast,can't focus,chores,Extremely depressed,Had chocolate truffles,Spent day with sister,migraine,Built a meat grinder,It's hell,Might be allergic to corn,ate little,socialized,Found moldy pies,Read a story,Stomach hurts,Thought about romance,I feel like a burden,Upset,Feel numb,"steak 5mins, rest, scissors",less than 8 hours sleep,Craving salt,sunburn,Worried,ate lunch,juiced,Mood swings,Really down,vomited,lots of thinking,chiropractic,good sleep,walked,drawing,Feel needy,Had peach soda,I'm stupid,therapy,annoyed,I lied,row
0.0,0.0,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,,,0.0,0.0,,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,,,2.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,,,,2.0,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,,,,,,0.0,0.0,,0.0,0.0,,2.0,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,2.0,,0.0,,,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,,2.0,,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,2.0,2.0,0.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,,2.0,2.0,,0.0,0.0,2.0,,,0.0,2.0,2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,2.0,0.0,2.0,0.0,,2.0,,0.0,0.0,0.0,0.0,,0.0,0.0,Played poker
0.0,0.0,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,,,0.0,0.0,,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,,,2.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,,,,2.0,0.0,0.0,,,,,0.0,0.0,,0.0,,0.0,2.0,0.0,2.0,0.0,0.0,2.0,,,,,,0.0,0.0,,0.0,0.0,,2.0,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,2.0,,0.0,,,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,,2.0,,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,2.0,2.0,0.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,,2.0,2.0,,0.0,0.0,2.0,,,0.0,2.0,2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,2.0,0.0,2.0,0.0,,2.0,,0.0,0.0,0.0,0.0,,0.0,0.0,Ended my friendship
0.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0980165554179,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,2.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,2.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,2.0,,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.512117506168,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,,2.0,,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,2.0,2.0,0.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,2.0,2.0,,0.0,0.0,2.0,0.0,,0.0,2.0,2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,depressed
2.0,2.0,,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,,,,2.0,2.0,,2.0,,0.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,,,,0.0,2.0,,2.0,2.0,,2.0,2.0,0.0,,,,,0.0,2.0,2.0,,,,,2.0,2.0,,2.0,2.0,2.0,,2.0,0.0,2.0,2.0,0.0,,,,,,2.0,2.0,,2.0,2.0,,0.0,2.0,2.0,0.0,2.0,,0.0,2.0,2.0,0.0,,2.0,,,2.0,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,0.0,0.0,2.0,,2.0,2.0,,2.0,2.0,0.0,,2.0,,,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,,0.0,,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,,0.0,0.0,2.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,0.0,0.0,,,0.0,,2.0,,2.0,2.0,2.0,2.0,0.0,,2.0,0.0,2.0,,,0.0,0.0,,2.0,2.0,0.0,,,2.0,0.0,0.0,2.0,,,2.0,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,,,0.0,2.0,0.0,2.0,,0.0,,2.0,2.0,2.0,2.0,,2.0,2.0,Read stories
0.0,0.0,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,,,0.0,0.0,,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,,,2.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,,,,2.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,,,,,,0.0,0.0,,0.0,0.0,,2.0,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,2.0,,0.0,,,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,,2.0,,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,2.0,2.0,0.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,,2.0,2.0,,0.0,0.0,2.0,,,0.0,2.0,2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,2.0,0.0,2.0,0.0,,2.0,,0.0,0.0,0.0,0.0,,0.0,0.0,Kinda worried
2.0,2.0,,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,,,,2.0,2.0,,2.0,,0.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,,,,0.0,2.0,,2.0,2.0,,2.0,2.0,0.0,,,,,0.0,2.0,2.0,,,,,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,,2.0,2.0,0.0,,,,,,2.0,2.0,,2.0,2.0,,0.0,2.0,2.0,0.0,2.0,,0.0,2.0,2.0,0.0,,2.0,,,2.0,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,0.0,0.0,2.0,,2.0,2.0,,2.0,2.0,0.0,,2.0,,,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,,0.0,,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,,0.0,0.0,2.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,0.0,0.0,,,0.0,,2.0,,2.0,2.0,2.0,2.0,0.0,,2.0,0.0,2.0,,,0.0,0.0,,2.0,2.0,0.0,,,2.0,0.0,0.0,2.0,,,2.0,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,,,0.0,2.0,0.0,2.0,,0.0,,2.0,2.0,2.0,2.0,,2.0,2.0,Texted friend
0.0,0.0,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,,,0.0,0.0,,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,,,2.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,,,,2.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,,,,,,0.0,0.0,,0.0,0.0,,2.0,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,2.0,,0.0,,,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,,2.0,,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,2.0,2.0,0.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,,2.0,2.0,,0.0,0.0,2.0,,,0.0,2.0,2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,2.0,0.0,2.0,0.0,,2.0,,0.0,0.0,0.0,0.0,,0.0,0.0,pain
0.0,0.0,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,,,0.0,0.0,,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,,,2.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,,,,2.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,2.0,,,,,,0.0,0.0,,0.0,0.0,,2.0,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,2.0,,0.0,,,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,,2.0,,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,2.0,2.0,0.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,,2.0,2.0,,0.0,0.0,2.0,,,0.0,2.0,2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,2.0,0.0,2.0,0.0,,2.0,,0.0,0.0,0.0,0.0,,0.0,0.0,There was a sale the market
2.0,2.0,,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,,,,2.0,2.0,,2.0,,0.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,,,,0.0,2.0,,2.0,2.0,,2.0,2.0,0.0,,,,,0.0,2.0,2.0,,,,,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,,,,,,,2.0,2.0,,2.0,2.0,,0.0,2.0,2.0,0.0,2.0,,0.0,2.0,2.0,0.0,,2.0,,,2.0,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,0.0,0.0,2.0,,2.0,2.0,,2.0,2.0,0.0,,2.0,,,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,,0.0,,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,,0.0,0.0,2.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,0.0,0.0,,,0.0,,2.0,,2.0,2.0,2.0,2.0,0.0,,2.0,0.0,2.0,,,0.0,0.0,,2.0,2.0,0.0,,,2.0,0.0,0.0,2.0,,,2.0,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,,,0.0,2.0,0.0,2.0,,0.0,,2.0,2.0,2.0,2.0,,2.0,2.0,A bug bit me
,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,2.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,cleaned room
,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,0.0,,,ice cream
,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,2.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,small dinner
,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,0.0,,,alcohol
,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,0.0,,,poor sleep
0.0,0.0,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,,,0.0,0.0,,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,,,2.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,,,,2.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,,,,,,,0.0,,0.0,0.0,,2.0,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,2.0,,0.0,,,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,,2.0,,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,2.0,2.0,0.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,,2.0,2.0,,0.0,0.0,2.0,,,0.0,2.0,2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,2.0,0.0,2.0,0.0,,2.0,,0.0,0.0,0.0,0.0,,0.0,0.0,Read comics
0.0,0.0,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,,,0.0,0.0,,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,,,2.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,,,,2.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,,,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,2.0,,0.0,,,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,,2.0,,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,2.0,2.0,0.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,,2.0,2.0,,0.0,0.0,2.0,,,0.0,2.0,2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,2.0,0.0,2.0,0.0,,2.0,,0.0,0.0,0.0,0.0,,0.0,0.0,Played Go fish
,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,0.0,,,caffeine
0.0,0.0,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,,,0.0,0.0,,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,,,2.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,,,,2.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,,,,,,0.0,0.0,,,0.0,,2.0,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,2.0,,0.0,,,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,,2.0,,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,2.0,2.0,0.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,,2.0,2.0,,0.0,0.0,2.0,,,0.0,2.0,2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,2.0,0.0,2.0,0.0,,2.0,,0.0,0.0,0.0,0.0,,0.0,0.0,I feel bad
0.0,0.0,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,,,0.0,0.0,,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,,,2.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,,,,2.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,,,,,,0.0,0.0,,0.0,,,2.0,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,2.0,,0.0,,,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,,2.0,,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,2.0,2.0,0.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,,2.0,2.0,,0.0,0.0,2.0,,,0.0,2.0,2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,2.0,0.0,2.0,0.0,,2.0,,0.0,0.0,0.0,0.0,,0.0,0.0,I laughed for ten minutes straight
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stuffed up
2.0,2.0,,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,,,,2.0,2.0,,2.0,,0.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,,,,0.0,2.0,,2.0,2.0,,2.0,2.0,0.0,,,,,0.0,2.0,2.0,,,,,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,,,,,,2.0,2.0,,2.0,2.0,,,2.0,2.0,0.0,2.0,,0.0,2.0,2.0,0.0,,2.0,,,2.0,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,0.0,0.0,2.0,,2.0,2.0,,2.0,2.0,0.0,,2.0,,,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,,0.0,,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,,0.0,0.0,2.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,0.0,0.0,,,0.0,,2.0,,2.0,2.0,2.0,2.0,0.0,,2.0,0.0,2.0,,,0.0,0.0,,2.0,2.0,0.0,,,2.0,0.0,0.0,2.0,,,2.0,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,,,0.0,2.0,0.0,2.0,,0.0,,2.0,2.0,2.0,2.0,,2.0,2.0,Bought boots
